CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,P101,P201_CP,P201,P206,P202,P203,P204,P205,SD01,SD02_01,SD10,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME_SUM,MAILSENT,LASTDATA,STATUS,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI
75,,,Survey,interview,2025-01-27 11:16:12,1,0,11,3,4,3,3,2,1,27,1,6,5,15,35,9,11,8,89,,2025-01-27 11:17:41,,1,0,7,7,0,0,0.91
77,,,Survey,interview,2025-01-27 11:25:32,1,0,10,3,4,3,3,3,2,22,1,2,2,13,7,5,8,9,46,,2025-01-27 11:26:19,,1,0,7,7,0,0,1.63
87,,,Survey,interview,2025-01-27 11:31:30,1,0,7,3,4,1,1,1,1,20,1,14,1,36,13,24,12,7,107,,2025-01-27 11:33:17,,1,0,7,7,0,0,1.06
91,,,Survey,interview,2025-01-27 11:33:07,1,0,6,3,4,5,2,2,2,24,2,2,3,25,25,20,26,21,122,,2025-01-27 11:35:09,,1,0,7,7,0,0,0.73
95,,,Survey,interview,2025-01-27 11:34:52,1,0,2,3,2,3,1,1,1,21,1,21,2,17,15,17,20,7,81,,2025-01-27 11:36:31,,1,0,7,7,0,0,0.89
102,,,Survey,interview,2025-01-27 11:37:56,1,1,10,3,4,4,2,1,2,21,1,7,2,33,11,5,15,9,82,,2025-01-27 11:39:18,,1,0,7,7,0,0,1.18
106,,,Survey,interview,2025-01-27 11:45:07,1,1,11,3,5,4,4,4,1,24,1,3,2,47,8,3,8,6,77,,2025-01-27 11:46:24,,1,0,7,7,0,0,1.45
109,,,Survey,interview,2025-01-27 11:50:00,1,1,12,3,4,2,1,3,1,22,1,62,3,130,57,28,51,16,94,,2025-01-27 11:55:47,,1,0,7,7,0,0,0.38
111,,,Survey,interview,2025-01-27 12:07:16,1,1,1,3,4,2,1,1,2,28,1,3,3,5,7,7,24,8,57,,2025-01-27 12:08:13,,1,0,7,7,0,0,1.49
119,,,Survey,interview,2025-01-27 15:43:03,1,1,7,3,5,5,5,5,1,28,1,3,7,21,6,10,11,17,75,,2025-01-27 15:44:18,,1,0,7,7,0,0,1.06
132,,,Survey,interview,2025-01-27 16:37:30,1,2,12,3,3,4,1,2,2,19,1,12,11,269,43,55,16,12,160,,2025-01-27 16:44:28,,1,0,7,7,0,0,0.36
133,,,Survey,interview,2025-01-27 16:37:32,1,2,8,3,4,1,1,1,1,27,1,7,3,78,25,41,14,22,176,,2025-01-27 16:40:42,,1,0,7,7,0,0,0.52
139,,,Survey,interview,2025-01-27 16:40:16,1,2,1,3,1,1,1,1,1,19,1,2,2,10,9,33,12,19,87,,2025-01-27 16:41:43,,1,0,7,7,0,0,1.14
142,,,Survey,interview,2025-01-27 16:41:37,1,2,6,3,2,2,1,1,1,22,1,4,5,36,22,8,15,53,98,,2025-01-27 16:44:00,,1,0,7,7,0,0,0.74
143,,,Survey,interview,2025-01-27 16:42:13,1,2,2,3,5,4,3,3,2,19,1,1,2,7,10,19,11,10,60,,2025-01-27 16:43:13,,1,0,7,7,0,0,1.53
144,,,Survey,interview,2025-01-27 16:42:17,1,3,11,3,4,1,1,1,1,21,1,7,2,48,18,12,26,10,123,,2025-01-27 16:44:20,,1,0,7,7,0,0,0.79
146,,,Survey,interview,2025-01-27 16:43:24,1,3,7,2,1,1,1,1,1,26,1,6,2,6,33,7,9,18,81,,2025-01-27 16:44:45,,1,0,7,7,0,0,1.32
150,,,Survey,interview,2025-01-27 16:46:21,1,3,5,3,3,1,1,4,1,25,1,6,7,21,19,271,24,10,103,,2025-01-27 16:52:19,,1,0,7,7,0,0,0.54
158,,,Survey,interview,2025-01-27 16:54:04,1,4,12,3,3,4,1,1,1,21,1,79,2,87,16,22,13,8,83,,2025-01-27 16:57:51,,1,0,7,7,0,0,0.73
159,,,Survey,interview,2025-01-27 16:56:28,1,4,11,3,3,1,1,1,1,25,1,15,4,66,20,56,12,9,182,,2025-01-27 16:59:30,,1,0,7,7,0,0,0.57
160,,,Survey,interview,2025-01-27 16:58:48,1,4,2,5,3,2,3,3,1,22,1,8,4,15,33,6,30,10,106,,2025-01-27 17:00:34,,1,0,7,7,0,0,0.93
165,,,Survey,interview,2025-01-27 17:08:43,1,4,6,3,4,1,1,2,1,24,1,7,3,55,22,70,13,42,124,,2025-01-27 17:12:15,,1,0,7,7,0,0,0.51
166,,,Survey,interview,2025-01-27 17:10:50,1,4,4,3,3,2,1,1,2,23,1,2,3,27,19,13,16,9,89,,2025-01-27 17:12:19,,1,0,7,7,0,0,0.92
173,,,Survey,interview,2025-01-27 17:26:11,1,5,11,3,4,4,1,3,1,24,1,10,4,725,33,24,19,12,121,,2025-01-27 17:39:58,,1,0,7,7,0,0,0.48
176,,,Survey,interview,2025-01-27 17:29:54,1,5,12,3,4,3,3,1,1,25,1,2,3,28,8,13,6,7,67,,2025-01-27 17:31:01,,1,0,7,7,0,0,1.25
182,,,Survey,interview,2025-01-27 17:44:51,1,5,8,3,5,3,3,3,2,22,1,2,4,26,12,11,10,11,76,,2025-01-27 17:46:07,,1,0,7,7,0,0,1.01
184,,,Survey,interview,2025-01-27 17:45:05,1,5,5,3,4,3,1,2,1,34,3,6,3,38,32,54,21,10,164,,2025-01-27 17:47:49,,1,0,7,7,0,0,0.56
185,,,Survey,interview,2025-01-27 17:45:51,1,5,1,3,4,5,1,1,2,28,1,3,2,25,22,28,14,9,103,,2025-01-27 17:47:34,,1,0,7,7,0,0,0.85
188,,,Survey,interview,2025-01-27 17:57:20,1,6,9,1,4,3,2,3,2,24,1,3,2,18,32,28,21,10,114,,2025-01-27 17:59:14,,1,0,7,7,0,0,0.81
189,,,Survey,interview,2025-01-27 18:01:28,1,6,2,3,3,5,1,1,2,20,1,23,3,43,22,100,14,29,109,,2025-01-27 18:05:24,,1,0,7,7,0,0,0.48
191,,,Survey,interview,2025-01-27 18:14:08,1,6,10,3,3,1,1,1,1,21,1,4,3,18,25,17,13,12,92,,2025-01-27 18:15:40,,1,0,7,7,0,0,0.81
192,,,Survey,interview,2025-01-27 18:15:26,1,6,4,3,1,1,1,1,1,22,1,2,2,13,15,9,9,16,66,,2025-01-27 18:16:32,,1,0,7,7,0,0,1.22
193,,,Survey,interview,2025-01-27 18:17:28,1,6,1,3,4,1,1,1,1,19,1,28,3,26,39,61,12,7,151,,2025-01-27 18:20:24,,1,0,7,7,0,0,0.64
199,,,Survey,interview,2025-01-27 18:33:01,1,6,11,3,5,5,4,4,2,28,1,2,2,20,19,6,13,7,69,,2025-01-27 18:34:10,,1,0,7,7,0,0,1.28
202,,,Survey,interview,2025-01-27 18:37:49,1,7,9,3,3,1,3,1,1,21,1,2,2,19,19,25,26,11,104,,2025-01-27 18:39:33,,1,0,7,7,0,0,0.89
203,,,Survey,interview,2025-01-27 18:40:09,1,7,11,3,3,3,2,2,1,22,1,35,4,65,94,29,47,23,134,,2025-01-27 18:45:06,,1,0,7,7,0,0,0.34
207,,,Survey,interview,2025-01-27 19:15:14,1,7,1,3,3,2,1,1,2,22,1,4,3,23,18,14,15,8,85,,2025-01-27 19:16:39,,1,0,7,7,0,0,0.86
210,,,Survey,interview,2025-01-27 19:33:42,1,7,4,3,4,1,1,1,1,22,1,47,3,98,25,64,24,24,146,,2025-01-27 19:38:27,,1,0,7,7,0,0,0.4
215,,,Survey,interview,2025-01-27 19:46:41,1,7,6,3,3,1,1,1,1,26,1,4,3,63,20,47,15,12,164,,2025-01-27 19:49:25,,1,0,7,7,0,0,0.62
219,,,Survey,interview,2025-01-27 19:56:19,1,8,10,3,4,2,1,1,1,22,1,3,2,13,22,11,14,7,72,,2025-01-27 19:57:31,,1,0,7,7,0,0,1.11
222,,,Survey,interview,2025-01-27 20:37:17,1,8,11,3,4,4,2,3,1,27,1,3,2,34,46,21,44,33,125,,2025-01-27 20:40:21,,1,0,7,7,0,0,0.63
223,,,Survey,interview,2025-01-27 20:41:10,1,8,12,3,4,1,1,1,2,22,1,5,2,104,20,9,17,11,83,,2025-01-27 20:43:58,,1,0,7,7,0,0,0.85
226,,,Survey,interview,2025-01-27 20:53:20,1,8,6,3,4,2,1,1,1,20,1,1,3,2,19,8,70,12,56,,2025-01-27 20:55:15,,1,0,7,7,0,0,1.42
228,,,Survey,interview,2025-01-27 21:02:28,1,8,5,3,1,1,1,1,1,25,1,1,2,31,17,41,14,11,117,,2025-01-27 21:04:25,,1,0,7,7,0,0,1.04
232,,,Survey,interview,2025-01-27 21:07:13,1,9,12,3,3,1,1,1,1,18,1,1,2,58,55,17,13,15,120,,2025-01-27 21:09:54,,1,0,7,7,0,0,0.98
234,,,Survey,interview,2025-01-27 21:11:58,1,9,11,3,4,1,1,1,1,30,1,3,9,84,39,65,33,12,103,,2025-01-27 21:16:03,,1,0,7,7,0,0,0.43
236,,,Survey,interview,2025-01-27 21:12:37,1,9,8,3,3,1,1,1,1,18,1,1,2,23,18,18,11,13,86,,2025-01-27 21:14:03,,1,0,7,7,0,0,1.15
241,,,Survey,interview,2025-01-27 21:42:56,1,9,6,3,3,1,1,1,1,20,1,34,3,72,51,197,26,19,153,,2025-01-27 21:49:38,,1,0,7,7,0,0,0.36
243,,,Survey,interview,2025-01-27 22:01:07,1,9,10,3,4,1,1,1,1,28,1,30,3,28,34,26,17,8,119,,2025-01-27 22:03:33,,1,0,7,7,0,0,0.63
244,,,Survey,interview,2025-01-27 22:02:32,1,9,4,3,3,3,2,3,2,20,1,10,4,92,21,23,19,8,104,,2025-01-27 22:05:29,,1,0,7,7,0,0,0.59
245,,,Survey,interview,2025-01-27 22:10:34,1,9,2,3,4,5,1,2,2,27,1,4,2,18,36,37,16,14,127,,2025-01-27 22:12:41,,1,0,7,7,0,0,0.75
247,,,Survey,interview,2025-01-27 22:27:14,1,10,12,1,3,1,1,1,2,25,3,16,3,26,43,6,14,16,111,,2025-01-27 22:29:18,,1,0,7,7,0,0,0.87
252,,,Survey,interview,2025-01-27 23:45:11,1,10,6,3,3,1,1,1,1,23,1,9,3,38,21,21,15,14,121,,2025-01-27 23:47:12,,1,0,7,7,0,0,0.64
253,,,Survey,interview,2025-01-27 23:45:58,1,10,1,3,4,5,1,3,1,25,1,5,2,15,14,19,16,9,80,,2025-01-27 23:47:18,,1,0,7,7,0,0,0.95
255,,,Survey,interview,2025-01-28 00:47:25,1,10,5,3,3,1,1,1,2,21,1,4,3,42,29,37,11,8,134,,2025-01-28 00:49:39,,1,0,7,7,0,0,0.71
262,,,Survey,interview,2025-01-28 09:48:52,1,11,8,3,3,2,1,1,1,23,1,2,4,9,24,25,11,10,85,,2025-01-28 09:50:17,,1,0,7,7,0,0,1.01
264,,,Survey,interview,2025-01-28 09:50:01,1,11,2,2,4,4,1,2,1,31,2,23,4,18,41,45,17,13,141,,2025-01-28 09:52:42,,1,0,7,7,0,0,0.55
266,,,Survey,interview,2025-01-28 09:56:50,1,11,12,3,3,1,1,1,1,25,1,6,3,421,13,51,11,12,115,,2025-01-28 10:05:27,,1,0,7,7,0,0,0.64
267,,,Survey,interview,2025-01-28 10:10:21,1,11,1,3,3,3,2,2,1,21,1,31,3,17,32,22,12,11,100,,2025-01-28 10:12:29,,1,0,7,7,0,0,0.71
270,,,Survey,interview,2025-01-28 10:13:31,1,11,11,5,5,5,4,5,1,20,3,4,1,17,38,5,25,15,105,,2025-01-28 10:15:16,,1,0,7,7,0,0,1.3
273,,,Survey,interview,2025-01-28 10:24:56,1,11,10,5,3,3,3,3,2,20,7,5,3,5,48,5,41,15,92,,2025-01-28 10:26:58,,1,0,7,7,0,0,1.23
276,,,Survey,interview,2025-01-28 10:51:55,1,11,5,3,3,3,2,3,1,34,1,27,3,33,39,43,23,19,163,,2025-01-28 10:55:02,,1,0,7,7,0,0,0.47
277,,,Survey,interview,2025-01-28 11:31:59,1,11,4,3,3,2,1,2,1,28,1,29,4,71,22,19,21,21,161,,2025-01-28 11:35:07,,1,0,7,7,0,0,0.49
278,,,Survey,interview,2025-01-28 12:00:49,1,12,7,1,4,3,1,2,2,26,3,10,5,32,44,14,20,26,133,,2025-01-28 12:03:21,,1,0,7,7,0,0,0.53
279,,,Survey,interview,2025-01-28 12:28:26,1,12,10,3,4,3,3,3,1,27,1,2,1,10,13,28,5,6,65,,2025-01-28 12:29:31,,1,0,7,7,0,0,1.61
280,,,Survey,interview,2025-01-28 12:37:06,1,12,9,3,3,2,1,1,2,20,1,4,2,27,23,18,11,41,93,,2025-01-28 12:39:12,,1,0,7,7,0,0,0.78
281,,,Survey,interview,2025-01-28 12:40:25,1,12,3,3,5,5,5,4,2,31,1,3,2,31,10,15,17,7,85,,2025-01-28 12:41:50,,1,0,7,7,0,0,1.02
283,,,Survey,interview,2025-01-28 12:51:24,1,12,1,3,4,2,1,1,2,19,1,1,3,5,13,25,8,8,63,,2025-01-28 12:52:27,,1,0,7,7,0,0,1.5
284,,,Survey,interview,2025-01-28 12:52:00,1,12,2,3,3,1,1,1,1,24,1,2,4,34,35,34,13,26,130,,2025-01-28 12:54:28,,1,0,7,7,0,0,0.65
288,,,Survey,interview,2025-01-28 12:57:54,1,12,12,3,3,2,1,3,2,20,1,27,3,75,37,44,24,9,195,,2025-01-28 13:01:33,,1,0,7,7,0,0,0.49
289,,,Survey,interview,2025-01-28 13:25:43,1,12,8,3,3,2,1,1,2,21,1,9,3,16,19,15,12,8,82,,2025-01-28 13:27:05,,1,0,7,7,0,0,0.88
290,,,Survey,interview,2025-01-28 13:43:52,1,12,11,3,3,1,1,1,2,28,1,7,5,40,44,9,20,16,141,,2025-01-28 13:46:13,,1,0,7,7,0,0,0.64
292,,,Survey,interview,2025-01-28 14:09:58,1,12,5,3,4,2,1,1,1,26,1,2,3,6,13,17,6,5,52,,2025-01-28 14:10:50,,1,0,7,7,0,0,1.52
294,,,Survey,interview,2025-01-28 14:13:11,1,12,4,3,5,4,3,3,1,25,1,1,4,17,13,20,7,6,68,,2025-01-28 14:14:19,,1,0,7,7,0,0,1.3
295,,,Survey,interview,2025-01-28 14:19:12,1,13,8,3,5,4,3,4,2,19,1,1,2,18,15,7,8,7,58,,2025-01-28 14:20:10,,1,0,7,7,0,0,1.53
296,,,Survey,interview,2025-01-28 15:06:08,1,13,6,3,4,3,2,2,1,34,7,6527,2,27,10,3,5,11,61,,2025-01-28 16:55:53,,1,0,7,7,0,0,1.35
297,,,Survey,interview,2025-01-28 15:07:10,1,13,7,3,4,3,2,2,2,54,7,161,17,22,66,69,39,67,77,,2025-01-28 15:14:31,,1,0,7,7,0,0,0.27
299,,,Survey,interview,2025-01-28 15:18:02,1,13,4,5,5,1,1,5,2,24,3,7,5,6,36,4,23,18,99,,2025-01-28 15:19:41,,1,0,7,7,0,0,1.18
303,,,Survey,interview,2025-01-28 17:32:54,1,13,1,3,3,4,1,1,1,25,1,88,345,26,23,43,19,7,124,,2025-01-28 17:42:05,,1,0,7,7,0,0,0.49
305,,,Survey,interview,2025-01-28 17:38:21,1,13,3,3,5,5,5,4,2,23,1,1,2,27,6,27,5,6,74,,2025-01-28 17:39:35,,1,0,7,7,0,0,1.58
311,,,Survey,interview,2025-01-28 21:13:09,1,14,2,3,4,1,1,1,2,27,1,34,3,17,70,48,25,12,122,,2025-01-28 21:16:38,,1,0,7,7,0,0,0.54
312,,,Survey,interview,2025-01-28 22:34:42,1,14,12,3,3,2,1,1,1,30,1,8,4,75,25,16,14,12,154,,2025-01-28 22:37:16,,1,0,7,7,0,0,0.61
314,,,Survey,interview,2025-01-29 01:05:21,1,14,10,3,3,2,1,2,1,26,1,6,3,42,24,32,22,43,137,,2025-01-29 01:08:13,,1,0,7,7,0,0,0.51
318,,,Survey,interview,2025-01-29 11:31:20,1,14,6,3,4,3,2,2,2,31,1,5,3,23,19,16,8,11,85,,2025-01-29 11:32:45,,1,0,7,7,0,0,0.87
320,,,Survey,interview,2025-01-29 11:40:55,1,14,1,3,3,1,1,1,1,24,1,5,3,10,17,16,6,8,65,,2025-01-29 11:42:00,,1,0,7,7,0,0,1.14
322,,,Survey,interview,2025-01-29 12:58:03,1,14,11,3,3,3,1,1,1,25,1,1,3,33,55,14,24,14,103,,2025-01-29 13:00:27,,1,0,7,7,0,0,0.92
324,,,Survey,interview,2025-01-29 13:37:52,1,15,7,3,5,5,5,5,2,25,1,2,2,25,5,11,14,14,73,,2025-01-29 13:39:05,,1,0,7,7,0,0,1.28
326,,,Survey,interview,2025-01-29 14:27:43,1,15,9,3,3,1,1,1,1,22,1,1,2,6,13,7,7,5,41,,2025-01-29 14:28:24,,1,0,7,7,0,0,1.92
327,,,Survey,interview,2025-01-29 14:54:03,1,15,12,3,4,4,3,3,1,29,1,1,3,19,7,15,7,6,58,,2025-01-29 14:55:01,,1,0,7,7,0,0,1.48
328,,,Survey,interview,2025-01-29 14:55:51,1,15,11,3,5,5,4,4,2,31,5,2,4,12,10,18,7,12,65,,2025-01-29 14:56:56,,1,0,7,7,0,0,1.15
329,,,Survey,interview,2025-01-29 15:10:12,1,15,10,3,4,3,3,2,2,20,1,1,3,10,8,16,6,5,49,,2025-01-29 15:11:01,,1,0,7,7,0,0,1.64
330,,,Survey,interview,2025-01-29 15:29:14,1,15,3,3,5,5,5,4,2,27,5,1,16,20,12,17,7,8,68,,2025-01-29 15:30:35,,1,0,7,7,0,0,1.18
331,,,Survey,interview,2025-01-29 15:49:27,1,15,2,3,3,3,2,1,1,26,1,2,2,5,7,13,7,6,42,,2025-01-29 15:50:09,,1,0,7,7,0,0,1.68
332,,,Survey,interview,2025-01-29 16:05:13,1,15,8,3,4,4,4,3,2,18,1,2,2,37,7,5,6,12,71,,2025-01-29 16:06:24,,1,0,7,7,0,0,1.53
333,,,Survey,interview,2025-01-29 16:14:44,1,15,1,3,5,5,2,2,1,20,1,18,3,34,23,39,11,11,124,,2025-01-29 16:17:03,,1,0,7,7,0,0,0.63
334,,,Survey,interview,2025-01-29 17:05:20,1,15,4,3,4,4,3,3,1,24,1,2,3,20,5,10,5,5,50,,2025-01-29 17:06:10,,1,0,7,7,0,0,1.61
335,,,Survey,interview,2025-01-29 17:19:39,1,15,6,3,4,3,3,1,1,25,5,1,2,8,9,9,8,7,44,,2025-01-29 17:20:23,,1,0,7,7,0,0,1.73
337,,,Survey,interview,2025-01-29 18:24:01,1,16,1,3,4,1,1,1,2,25,1,1,3,5,7,29,8,5,58,,2025-01-29 18:24:59,,1,0,7,7,0,0,1.71
