CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,P101,P201_CP,P201,P206,P202,P203,P204,P205,SD01,SD02_01,SD10,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME_SUM,MAILSENT,LASTDATA,STATUS,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI
342,,,Survey,interview,2025-01-29 21:24:35,1,16,8,3,4,4,4,3,2,31,5,2,2,24,4,17,6,7,62,,2025-01-29 21:25:37,,1,0,7,7,0,0,1.49
343,,,Survey,interview,2025-01-29 22:04:58,1,16,6,3,3,3,2,1,1,22,1,3,2,26,12,10,14,5,72,,2025-01-29 22:06:10,,1,0,7,7,0,0,1.16
345,,,Survey,interview,2025-01-29 22:16:09,1,16,7,3,3,4,1,1,1,19,1,7,2,39,15,13,12,11,99,,2025-01-29 22:17:48,,1,0,7,7,0,0,0.87
348,,,Survey,interview,2025-01-30 11:42:47,1,16,9,3,3,1,1,1,1,29,2,1,2,13,12,27,9,8,72,,2025-01-30 11:44:00,,1,0,7,7,0,0,1.34
349,,,Survey,interview,2025-01-30 11:54:51,1,17,5,3,4,2,1,1,1,24,1,2,2,11,29,37,8,8,97,,2025-01-30 11:56:28,,1,0,7,7,0,0,1.11
350,,,Survey,interview,2025-01-30 12:15:51,1,17,7,3,5,5,5,5,1,23,1,2,2,42,16,11,12,6,91,,2025-01-30 12:17:22,,1,0,7,7,0,0,1.1
351,,,Survey,interview,2025-01-30 12:34:51,1,17,9,3,3,1,1,1,1,22,1,2,1,8,7,21,5,6,50,,2025-01-30 12:35:41,,1,0,7,7,0,0,1.83
352,,,Survey,interview,2025-01-30 12:35:53,1,17,4,3,4,4,4,3,1,27,1,7,4,16,7,17,6,5,62,,2025-01-30 12:36:55,,1,0,7,7,0,0,1.22
353,,,Survey,interview,2025-01-30 12:52:12,1,17,3,3,3,4,1,1,2,30,1,2,2,31,13,23,11,9,91,,2025-01-30 12:53:43,,1,0,7,7,0,0,0.99
354,,,Survey,interview,2025-01-30 13:46:41,1,17,10,3,3,1,1,1,1,21,1,5,3,58,20,62,16,10,174,,2025-01-30 13:49:35,,1,0,7,7,0,0,0.61
355,,,Survey,interview,2025-01-30 16:01:03,1,17,6,3,4,3,3,2,2,22,1,1,2,7,7,14,7,4,42,,2025-01-30 16:01:45,,1,0,7,7,0,0,1.9
356,,,Survey,interview,2025-01-30 16:08:19,1,17,2,3,4,3,2,2,1,19,1,3,2,4,8,7,5,5,34,,2025-01-30 16:08:53,,1,0,7,7,0,0,1.86
357,,,Survey,interview,2025-01-30 17:05:15,1,17,8,3,4,4,3,3,1,26,1,1,1,15,13,12,7,6,55,,2025-01-30 17:06:11,,1,0,7,7,0,0,1.71
358,,,Survey,interview,2025-01-30 17:27:22,1,17,1,3,5,1,1,1,1,29,2,3,4,21,21,29,13,17,108,,2025-01-30 17:29:10,,1,0,7,7,0,0,0.71
359,,,Survey,interview,2025-01-30 18:15:05,1,17,11,3,5,5,5,4,1,28,2,1,2,13,6,17,5,10,54,,2025-01-30 18:15:59,,1,0,7,7,0,0,1.66
360,,,Survey,interview,2025-01-30 18:56:52,1,17,12,3,4,4,3,3,1,20,1,1,2,16,5,5,8,5,42,,2025-01-30 18:57:34,,1,0,7,7,0,0,1.98
361,,,Survey,interview,2025-01-30 19:15:34,1,18,10,3,4,4,2,2,2,20,1,1,2,12,7,5,6,4,37,,2025-01-30 19:16:11,,1,0,7,7,0,0,2.05
362,,,Survey,interview,2025-01-30 20:01:23,1,18,9,3,3,2,1,1,1,32,4,2,2,8,8,17,7,10,54,,2025-01-30 20:02:17,,1,0,7,7,0,0,1.44
365,,,Survey,interview,2025-01-30 21:54:41,1,18,8,3,5,4,4,3,1,22,1,1,2,17,7,41,14,6,88,,2025-01-30 21:56:09,,1,0,7,7,0,0,1.36
373,,,Survey,interview,2025-01-31 12:25:02,1,18,1,3,4,1,1,1,1,30,5,4,5,4,11,5,8,9,46,,2025-01-31 12:25:49,,1,0,7,7,0,0,1.53
374,,,Survey,interview,2025-01-31 12:32:47,1,18,2,3,3,3,3,2,1,25,1,1,7,7,13,23,10,7,68,,2025-01-31 12:33:55,,1,0,7,7,0,0,1.37
375,,,Survey,interview,2025-01-31 12:34:03,1,18,3,3,5,5,4,4,2,32,5,2,2,9,10,3,13,7,46,,2025-01-31 12:34:49,,1,0,7,7,0,0,1.6
377,,,Survey,interview,2025-01-31 13:46:55,1,18,12,3,4,4,3,1,2,22,1,2,1,19,7,11,9,5,54,,2025-01-31 13:47:50,,1,0,7,7,0,0,1.63
378,,,Survey,interview,2025-01-31 13:47:52,1,18,7,3,5,5,5,5,1,20,1,1,6,12,5,8,11,5,48,,2025-01-31 13:48:40,,1,0,7,7,0,0,1.69
380,,,Survey,interview,2025-01-31 14:23:09,1,19,6,3,4,4,3,2,1,19,1,2,2,8,10,5,7,6,40,,2025-01-31 14:23:49,,1,0,7,7,0,0,1.77
381,,,Survey,interview,2025-01-31 16:42:55,1,19,1,5,3,1,1,1,2,19,1,1,2,3,9,10,11,5,41,,2025-01-31 16:43:36,,1,0,7,7,0,0,1.81
382,,,Survey,interview,2025-01-31 17:11:53,1,19,12,3,4,4,3,2,1,22,1,1,3,18,8,8,11,4,53,,2025-01-31 17:12:46,,1,0,7,7,0,0,1.6
383,,,Survey,interview,2025-01-31 22:10:26,1,19,7,3,5,5,5,5,1,23,5,1,1,27,5,19,10,8,71,,2025-01-31 22:11:38,,1,0,7,7,0,0,1.69
387,,,Survey,interview,2025-02-01 10:59:26,1,19,3,3,5,5,4,3,1,22,1,17,1,12,8,8,10,6,48,,2025-02-01 11:00:28,,1,0,7,7,0,0,1.54
388,,,Survey,interview,2025-02-01 12:18:37,1,19,4,3,3,4,4,2,1,23,1,15,5,18,12,6,9,7,72,,2025-02-01 12:19:49,,1,0,7,7,0,0,1.13
389,,,Survey,interview,2025-02-01 13:30:04,1,19,5,5,4,1,1,1,1,24,7,1,2,5,13,4,13,7,45,,2025-02-01 13:30:49,,1,0,7,7,0,0,1.86
391,,,Survey,interview,2025-02-01 15:09:06,1,19,8,3,4,4,4,3,1,34,5,2,7,24,6,43,12,6,100,,2025-02-01 15:10:46,,1,0,7,7,0,0,1.05
405,,,Survey,interview,2025-02-02 03:26:47,1,20,12,3,4,4,3,3,2,22,1,2,2,8,6,3,11,5,37,,2025-02-02 03:27:24,,1,0,7,7,0,0,1.85
406,,,Survey,interview,2025-02-02 03:38:26,1,20,6,3,3,3,2,2,1,25,1,2,1,6,6,9,4,6,34,,2025-02-02 03:39:00,,1,0,7,7,0,0,2.19
415,,,Survey,interview,2025-02-02 11:37:43,1,20,1,3,3,1,1,1,2,25,1,1,2,4,7,3,9,5,31,,2025-02-02 11:38:14,,1,0,7,7,0,0,2.11
417,,,Survey,interview,2025-02-02 13:03:46,1,20,11,3,5,5,5,4,1,22,1,1,7,19,13,10,5,6,61,,2025-02-02 13:04:47,,1,0,7,7,0,0,1.44
419,,,Survey,interview,2025-02-02 14:18:23,1,20,7,3,5,5,5,5,1,25,1,12,7,16,14,4,5,9,67,,2025-02-02 14:19:30,,1,0,7,7,0,0,1.27
421,,,Survey,interview,2025-02-02 14:38:34,1,20,2,3,3,3,2,1,2,20,5,1,3,3,9,4,10,8,38,,2025-02-02 14:39:12,,1,0,7,7,0,0,1.87
424,,,Survey,interview,2025-02-02 15:48:00,1,20,9,3,3,1,1,1,1,23,1,1,2,5,7,9,6,6,36,,2025-02-02 15:48:36,,1,0,7,7,0,0,1.97
425,,,Survey,interview,2025-02-02 16:20:58,1,20,8,3,4,4,4,3,2,45,5,1,3,14,7,8,5,8,46,,2025-02-02 16:21:44,,1,0,7,7,0,0,1.7
442,,,Survey,interview,2025-02-03 07:15:28,1,20,5,3,3,5,2,2,1,21,1,6,4,44,35,52,23,14,178,,2025-02-03 07:18:26,,1,0,7,7,0,0,0.48
450,,,Survey,interview,2025-02-03 12:01:05,1,20,10,3,4,4,1,1,1,20,1,7,4,48,24,70,18,13,130,,2025-02-03 12:04:09,,1,0,7,7,0,0,0.5
453,,,Survey,interview,2025-02-03 15:28:41,1,21,3,3,5,5,4,4,1,23,1,2,3,19,10,56,5,5,100,,2025-02-03 15:30:21,,1,0,7,7,0,0,1.24
454,,,Survey,interview,2025-02-03 15:31:38,1,21,1,5,3,1,1,1,1,27,1,24,4,31,56,49,21,24,130,,2025-02-03 15:35:07,,1,0,7,7,0,0,0.41
457,,,Survey,interview,2025-02-03 19:37:32,1,21,4,3,4,4,3,3,1,26,1,2,2,13,8,10,6,5,46,,2025-02-03 19:38:18,,1,0,7,7,0,0,1.55
458,,,Survey,interview,2025-02-03 19:43:55,1,21,5,3,3,1,1,1,2,22,1,1,2,4,8,9,8,4,36,,2025-02-03 19:44:31,,1,0,7,7,0,0,1.97
460,,,Survey,interview,2025-02-03 19:57:10,1,21,10,3,3,3,2,1,2,20,1,1,2,5,7,3,7,5,30,,2025-02-03 19:57:40,,1,0,7,7,0,0,2.16
461,,,Survey,interview,2025-02-03 20:03:25,1,21,11,3,5,5,5,4,2,23,1,1,1,14,10,3,9,5,43,,2025-02-03 20:04:09,,1,0,7,7,0,0,2
463,,,Survey,interview,2025-02-03 21:36:10,1,21,6,3,4,3,3,3,2,40,5,1,2,6,9,2,7,6,33,,2025-02-03 21:36:43,,1,0,7,7,0,0,2.06
468,,,Survey,interview,2025-02-04 12:04:56,1,21,7,3,5,5,5,5,2,27,1,6,9,19,5,20,11,9,73,,2025-02-04 12:06:15,,1,0,7,7,0,0,1.02
471,,,Survey,interview,2025-02-04 12:33:07,1,21,12,3,4,4,3,4,2,20,1,15,3,14,5,2,8,8,55,,2025-02-04 12:34:02,,1,0,7,7,0,0,1.51
472,,,Survey,interview,2025-02-04 13:12:01,1,21,2,3,3,3,3,3,1,23,1,2,4,4,6,7,8,6,37,,2025-02-04 13:12:38,,1,0,7,7,0,0,1.74
478,,,Survey,interview,2025-02-04 16:58:42,1,22,2,3,3,3,2,3,1,22,1,2,2,3,6,7,6,7,33,,2025-02-04 16:59:15,,1,0,7,7,0,0,1.88
493,,,Survey,interview,2025-02-05 12:05:53,1,22,9,3,4,1,1,1,1,26,1,1,3,5,11,18,6,6,50,,2025-02-05 12:06:43,,1,0,7,7,0,0,1.68
496,,,Survey,interview,2025-02-05 12:08:01,1,22,5,3,3,2,1,1,2,22,1,1,2,5,11,5,6,5,35,,2025-02-05 12:08:36,,1,0,7,7,0,0,2.09
497,,,Survey,interview,2025-02-05 12:27:23,1,22,1,3,4,1,1,1,2,20,1,1,2,4,20,4,8,16,55,,2025-02-05 12:28:19,,1,0,7,7,0,0,1.79
500,,,Survey,interview,2025-02-05 16:43:23,1,22,10,3,3,3,3,2,1,23,1,2,3,7,6,3,7,7,35,,2025-02-05 16:43:58,,1,0,7,7,0,0,1.85
503,,,Survey,interview,2025-02-05 17:35:10,1,22,6,3,4,3,3,2,2,21,1,1,2,9,5,8,7,4,36,,2025-02-05 17:35:46,,1,0,7,7,0,0,2.05
506,,,Survey,interview,2025-02-05 18:55:38,1,22,3,3,5,5,4,4,1,24,1,1,3,10,6,15,9,7,51,,2025-02-05 18:56:29,,1,0,7,7,0,0,1.58
508,,,Survey,interview,2025-02-05 20:15:54,1,22,11,3,3,1,1,1,1,21,1,2,4,139,27,23,15,15,105,,2025-02-05 20:19:39,,1,0,7,7,0,0,0.65
515,,,Survey,interview,2025-02-06 00:17:06,1,22,4,3,4,4,4,2,2,23,1,1,2,7,8,3,5,7,33,,2025-02-06 00:17:39,,1,0,7,7,0,0,2.11
518,,,Survey,interview,2025-02-06 00:18:41,1,23,6,3,3,3,3,1,2,20,1,2,1,4,7,21,6,4,45,,2025-02-06 00:19:27,,1,0,7,7,0,0,1.96
519,,,Survey,interview,2025-02-06 00:29:27,1,23,1,2,3,1,1,1,1,19,1,2,1,2,7,32,7,4,55,,2025-02-06 00:30:23,,1,0,7,7,0,0,1.89
525,,,Survey,interview,2025-02-06 23:19:08,1,23,5,3,4,2,2,1,1,26,1,48,8,7,9,11,10,9,52,,2025-02-06 23:20:50,,1,0,7,7,0,0,1.15
527,,,Survey,interview,2025-02-06 23:28:00,1,23,2,3,4,3,3,2,2,19,1,2,4,133,15,36,36,12,99,,2025-02-06 23:31:58,,1,0,7,7,0,0,0.64
528,,,Survey,interview,2025-02-06 23:48:17,1,23,9,3,3,2,1,1,1,24,1,2,4,5,11,3,8,8,41,,2025-02-06 23:48:58,,1,0,7,7,0,0,1.66
547,,,Survey,interview,2025-02-08 08:49:40,1,23,11,3,5,5,4,4,1,24,1,3,2,7,7,2,4,8,33,,2025-02-08 08:50:13,,1,0,7,7,0,0,1.96
548,,,Survey,interview,2025-02-08 20:11:06,1,23,7,3,4,1,1,1,1,20,1,12,3,45,21,23,20,14,138,,2025-02-08 20:13:24,,1,0,7,7,0,0,0.58
561,,,Survey,interview,2025-02-10 08:45:46,1,23,10,3,3,3,2,1,1,25,1,3,1,6,7,5,7,6,35,,2025-02-10 08:46:21,,1,0,7,7,0,0,2.1
562,,,Survey,interview,2025-02-10 10:27:36,1,23,4,3,3,2,1,1,2,33,5,2,1,4,7,2,9,7,32,,2025-02-10 10:28:08,,1,0,7,7,0,0,2.08
563,,,Survey,interview,2025-02-10 13:36:22,1,23,3,3,5,5,5,4,2,21,1,2,3,5,7,5,6,6,34,,2025-02-10 13:36:56,,1,0,7,7,0,0,1.91
564,,,Survey,interview,2025-02-10 14:27:11,1,23,8,3,3,2,1,1,1,35,5,1,1,5,5,7,7,8,34,,2025-02-10 14:27:45,,1,0,7,7,0,0,2.28
565,,,Survey,interview,2025-02-10 18:41:14,1,24,9,3,3,2,2,1,1,22,1,1,4,2,7,5,13,12,44,,2025-02-10 18:41:59,,1,0,7,7,0,0,1.81
566,,,Survey,interview,2025-02-10 18:50:33,1,24,6,3,3,3,1,1,1,23,1,2,2,13,6,8,9,24,48,,2025-02-10 18:51:37,,1,0,7,7,0,0,1.42
571,,,Survey,interview,2025-02-11 11:19:33,1,24,8,3,3,1,1,1,1,28,1,4,3,12,14,9,9,6,57,,2025-02-11 11:20:31,,1,0,7,7,0,0,1.21
572,,,Survey,interview,2025-02-11 11:20:54,1,24,7,3,5,5,5,5,2,19,1,1,3,17,19,7,13,7,67,,2025-02-11 11:22:01,,1,0,7,7,0,0,1.36
574,,,Survey,interview,2025-02-11 12:52:43,1,24,3,3,5,5,5,4,1,25,1,1,2,17,10,2,6,7,45,,2025-02-11 12:53:28,,1,0,7,7,0,0,1.78
575,,,Survey,interview,2025-02-11 13:39:48,1,24,11,3,5,5,4,4,2,23,1,1,2,10,5,9,6,6,39,,2025-02-11 13:40:27,,1,0,7,7,0,0,1.93
576,,,Survey,interview,2025-02-11 16:47:51,1,24,2,3,3,3,3,1,2,20,1,2,2,4,6,2,7,5,28,,2025-02-11 16:48:19,,1,0,7,7,0,0,2.02
577,,,Survey,interview,2025-02-11 19:56:12,1,24,1,3,4,1,1,1,1,27,2,1,2,2,5,11,5,9,35,,2025-02-11 19:56:47,,1,0,7,7,0,0,2.03
578,,,Survey,interview,2025-02-12 09:31:43,1,24,12,3,3,2,2,1,2,24,5,86,38,91,19,14,16,15,89,,2025-02-12 09:36:22,,1,0,7,7,0,0,0.48
582,,,Survey,interview,2025-02-12 10:58:59,1,25,9,3,3,1,1,1,1,20,1,2,2,3,15,6,7,5,40,,2025-02-12 10:59:39,,1,0,7,7,0,0,1.77
584,,,Survey,interview,2025-02-12 12:17:56,1,25,12,3,3,3,1,1,2,22,1,1,2,9,10,9,10,5,46,,2025-02-12 12:18:42,,1,0,7,7,0,0,1.7
585,,,Survey,interview,2025-02-12 16:55:59,1,25,1,3,2,1,1,1,1,26,2,1,3,6,8,11,13,6,48,,2025-02-12 16:56:47,,1,0,7,7,0,0,1.68
587,,,Survey,interview,2025-02-13 11:56:19,1,25,7,3,5,5,5,5,2,22,1,2,2,31,9,36,140,5,96,,2025-02-13 12:00:04,,1,0,7,7,0,0,1
590,,,Survey,interview,2025-02-14 16:21:13,1,25,11,3,5,5,4,4,1,27,1,4,2,16,6,14,5,6,53,,2025-02-14 16:22:06,,1,0,7,7,0,0,1.46
592,,,Survey,interview,2025-02-16 21:43:12,1,25,8,3,3,1,1,1,2,23,1,2,2,7,8,3,7,6,35,,2025-02-16 21:43:47,,1,0,7,7,0,0,1.87
603,,,Survey,interview,2025-02-20 12:41:36,1,25,2,3,3,3,2,2,1,26,1,1,3,5,8,2,8,4,31,,2025-02-20 12:42:07,,1,0,7,7,0,0,2.08
605,,,Survey,interview,2025-02-21 12:53:58,1,25,10,3,3,3,2,1,2,21,1,3,2,7,5,5,5,4,31,,2025-02-21 12:54:29,,1,0,7,7,0,0,2.14
606,,,Survey,interview,2025-02-21 13:52:39,1,25,6,3,3,2,1,1,1,23,1,4,3,30,7,10,6,8,68,,2025-02-21 13:53:47,,1,0,7,7,0,0,1.22
607,,,Survey,interview,2025-02-21 16:57:07,1,25,3,3,5,5,5,4,1,25,1,1,3,11,24,21,9,8,77,,2025-02-21 16:58:24,,1,0,7,7,0,0,1.25
609,,,Survey,interview,2025-02-22 13:32:57,1,26,12,3,3,1,1,1,1,22,1,1,2,16,6,103,6,4,51,,2025-02-22 13:35:15,,1,0,7,7,0,0,1.63
614,,,Survey,interview,2025-02-23 19:18:54,1,26,8,3,3,1,1,1,2,31,5,1,2,14,7,5,5,6,40,,2025-02-23 19:19:34,,1,0,7,7,0,0,1.97
616,,,Survey,interview,2025-02-24 11:36:39,1,26,1,3,3,1,1,1,1,26,1,2,2,3,7,19,6,5,44,,2025-02-24 11:37:23,,1,0,7,7,0,0,1.7
619,,,Survey,interview,2025-02-24 17:50:54,1,26,5,3,3,1,1,1,2,20,1,1,2,3,5,2,6,5,24,,2025-02-24 17:51:18,,1,0,7,7,0,0,2.3
620,,,Survey,interview,2025-02-24 21:46:43,1,26,10,3,3,3,3,2,1,26,1,1,1,9,6,11,6,4,38,,2025-02-24 21:47:22,,1,0,7,7,0,0,2.16
621,,,Survey,interview,2025-02-25 00:53:11,1,26,3,3,5,5,4,4,2,20,1,2,9,12,5,7,5,4,38,,2025-02-25 00:53:55,,1,0,7,7,0,0,1.75
622,,,Survey,interview,2025-02-25 12:23:02,1,26,2,3,3,3,2,1,1,21,1,1,1,4,7,4,5,6,28,,2025-02-25 12:23:31,,1,0,7,7,0,0,2.42
623,,,Survey,interview,2025-02-25 13:59:12,1,26,9,3,3,1,1,1,1,23,3,1,2,3,5,18,4,8,41,,2025-02-25 13:59:53,,1,0,7,7,0,0,2.04
625,,,Survey,interview,2025-02-25 14:15:49,1,26,11,3,5,5,4,5,2,34,2,1,3,6,6,13,5,7,41,,2025-02-25 14:16:30,,1,0,7,7,0,0,1.9
626,,,Survey,interview,2025-02-26 13:26:43,1,26,7,3,5,5,5,5,1,23,2,2,2,20,4,8,8,6,50,,2025-02-26 13:27:33,,1,0,7,7,0,0,1.62
627,,,Survey,interview,2025-02-26 15:33:11,1,26,4,5,3,2,2,2,1,30,2,1,2,10,8,5,7,6,39,,2025-02-26 15:33:50,,1,0,7,7,0,0,1.93
631,,,Survey,interview,2025-02-27 14:02:45,1,27,2,3,3,2,2,1,2,34,2,1,2,2,5,5,9,7,31,,2025-02-27 14:03:17,,1,0,7,7,0,0,2.15
